comment number,random index,month,year,topic,contribution
241487,22393684,3,2014,48,0.69182074
242358,88949960,3,2014,16,0.66871375
245609,73596193,4,2014,48,0.6752754
250030,89543943,5,2014,29,0.36946708
250765,80438789,5,2014,4,0.3183357
252236,16636824,5,2014,49,0.45201936
252394,16554630,5,2014,29,0.40904433
257731,59159809,6,2014,47,0.27961415
258393,43767405,6,2014,47,0.32273003
263973,72370236,7,2014,16,0.66500807
276530,41002206,9,2014,16,0.7713328
278255,87263961,9,2014,28,0.63489187
280867,51036286,10,2014,28,0.66126215
281691,76242003,10,2014,28,0.7440755
281822,81138408,10,2014,28,0.7106846
285250,63361891,10,2014,12,0.7512849
288768,73225162,11,2014,27,0.67311734
289167,98230309,11,2014,12,0.7719978
289172,17071875,11,2014,16,0.66753405
289726,66987028,11,2014,33,0.7639411
291264,49295539,11,2014,4,0.28639647
298139,48620942,1,2015,14,0.27929378
298977,11233075,1,2015,12,0.76799387
300292,25350579,1,2015,33,0.7127731
302554,38076080,1,2015,16,0.6616464
303791,61344675,2,2015,49,0.50502574
305678,73381055,2,2015,49,0.45190075
305891,31976812,2,2015,27,0.67299855
306385,30091798,2,2015,47,0.3811034
309947,79343620,3,2015,22,0.5323233
311581,84951288,3,2015,28,0.6420215
313789,93815762,3,2015,23,0.8103118
313818,37834426,3,2015,27,0.67279446
314799,78602651,3,2015,4,0.23851156
317172,31111466,3,2015,4,0.2540997
319514,80394392,4,2015,22,0.593207
319818,99689012,4,2015,4,0.23394822
329796,51899589,5,2015,28,0.66207075
330063,61556478,5,2015,12,0.772998
339595,14685292,6,2015,4,0.23455569
342143,10985946,6,2015,16,0.83664346
353785,92457328,6,2015,22,0.5722889
355646,81263118,6,2015,23,0.7047666
357829,76585994,6,2015,12,0.7663368
359137,15153820,6,2015,22,0.5236868
361862,57809531,6,2015,14,0.30293742
362459,91080828,7,2015,4,0.2695531
364233,68829638,7,2015,48,0.7490861
367512,80171472,7,2015,49,0.44150162
371851,36417973,7,2015,48,0.6763712
373999,78109946,7,2015,22,0.5174911
378640,38616549,8,2015,33,0.785904
379952,47419008,8,2015,4,0.23410152
380182,71709016,8,2015,28,0.6684017
382937,83604079,8,2015,4,0.2925484
384357,78290315,8,2015,22,0.53926295
386257,61932132,9,2015,49,0.5220239
387921,25661729,9,2015,48,0.6932283
388288,83382930,9,2015,16,0.6653921
391868,98447589,9,2015,33,0.715915
393007,27503286,9,2015,33,0.77225524
395419,60078430,9,2015,22,0.6624053
398174,97567552,10,2015,47,0.31050086
398473,91928903,10,2015,33,0.7629316
400963,36436020,10,2015,14,0.28491664
403569,62130650,10,2015,12,0.85148704
407274,39139837,11,2015,33,0.72095513
409191,65168057,11,2015,28,0.63415873
409484,56505229,11,2015,12,0.8054851
412280,65971975,12,2015,28,0.64532393
412378,39032912,12,2015,12,0.7925226
413405,89979875,12,2015,27,0.6730649
415524,73807980,12,2015,47,0.28710356
417011,50462196,1,2016,49,0.44315365
417183,66295642,1,2016,47,0.3187388
419283,27089051,1,2016,27,0.6728521
420558,69811556,1,2016,14,0.2791124
423350,39061906,1,2016,12,0.8051688
423912,93937190,1,2016,22,0.56058717
424473,55078474,1,2016,48,0.7307215
430067,75512686,2,2016,27,0.67270035
437504,15486962,3,2016,47,0.34926617
437510,57413505,3,2016,47,0.34930477
437516,79944353,3,2016,47,0.34926856
437522,13036973,3,2016,47,0.3493603
437526,14377695,3,2016,47,0.34935728
437531,39911495,3,2016,47,0.34926566
437532,44388050,3,2016,47,0.3493272
438405,72021887,3,2016,22,0.53527063
443882,62004051,4,2016,4,0.26087883
444225,67664673,4,2016,27,0.67291385
446961,57955350,4,2016,29,0.46768206
448447,67844442,4,2016,14,0.32095876
451102,80424570,5,2016,47,0.28298607
452834,22736437,5,2016,33,0.7788899
453055,20851572,5,2016,29,0.3862773
453415,49567285,5,2016,27,0.6729303
455590,55739014,5,2016,48,0.8010413
455807,29732862,5,2016,22,0.53532565
459423,29516916,6,2016,33,0.78000134
459544,42921449,6,2016,49,0.47746974
460535,35314333,6,2016,22,0.53907603
461521,52553123,6,2016,14,0.37660867
461756,10380092,6,2016,49,0.44498727
464326,26639009,6,2016,27,0.672844
465045,84157643,6,2016,23,0.8115231
465720,46704227,6,2016,28,0.644769
465812,70742023,6,2016,48,0.66296357
466708,26612261,6,2016,48,0.7054637
468176,25291806,6,2016,27,0.67283154
471266,34180339,7,2016,27,0.6728514
471835,93331362,7,2016,22,0.61182666
471856,33295191,7,2016,28,0.65151805
472337,12616435,7,2016,4,0.23762162
475470,33885428,7,2016,22,0.57170945
477133,59992842,7,2016,22,0.538199
482732,17320226,8,2016,27,0.6726942
484331,80053124,8,2016,28,0.7001289
486048,99996769,8,2016,22,0.5540008
486050,16825502,8,2016,22,0.58146167
487990,87676987,9,2016,23,0.68637633
488174,41580808,9,2016,47,0.30097663
491713,21581246,9,2016,22,0.5593033
492802,74123345,9,2016,27,0.67294514
498288,85999941,10,2016,29,0.7571144
500103,87901253,10,2016,16,0.6828381
501696,64527510,10,2016,33,0.7331305
501748,49098854,10,2016,12,0.84190667
506271,27527626,11,2016,4,0.25052083
508635,50683556,11,2016,28,0.64174396
511760,92427518,11,2016,22,0.6360786
511856,33397331,11,2016,29,0.41371205
521795,21909781,12,2016,33,0.73891705
522634,34723262,12,2016,14,0.29292676
527781,35656172,12,2016,33,0.8183606
532166,83479531,1,2017,27,0.672768
532192,36618355,1,2017,23,0.69133973
534802,12986925,1,2017,48,0.68179965
536212,90711529,1,2017,49,0.45586795
541592,56342333,2,2017,14,0.30863196
544013,37529856,2,2017,27,0.6727751
546210,41944959,3,2017,14,0.30854508
547861,60373792,3,2017,16,0.7749482
552349,44621220,4,2017,23,0.7400808
556680,65859999,4,2017,33,0.7163141
557554,65431022,4,2017,16,0.68103045
557863,66452996,4,2017,28,0.6922495
560834,86039802,5,2017,49,0.5141469
561396,12906233,5,2017,33,0.7182907
561397,21718462,5,2017,33,0.71828496
564002,85486181,5,2017,23,0.6845093
564309,33879853,5,2017,14,0.2847415
570115,71096492,6,2017,49,0.4477841
573977,21153798,6,2017,22,0.6132105
574951,57890711,6,2017,23,0.723045
582866,38497803,7,2017,48,0.6944015
586815,68786060,8,2017,4,0.30416206
587346,25259067,8,2017,27,0.672872
588321,17687446,8,2017,23,0.7184024
590201,75188927,8,2017,33,0.8558585
590235,10173162,8,2017,29,0.38537702
592779,21028332,9,2017,29,0.36765313
593989,92880764,9,2017,16,0.68775916
599320,11466333,9,2017,48,0.7067709
602693,51229552,9,2017,22,0.54472303
comment number,random index,month,year,topic,contribution
2,25181629,3,2006,29,0.691029
124,45699618,11,2006,14,0.27885708
150,33253599,1,2007,33,0.7109476
280,40468016,6,2007,47,0.29293326
377,40972434,8,2007,28,0.65859354
428,34781676,9,2007,4,0.3610193
463,92681612,9,2007,29,0.4701272
689,35965120,12,2007,14,0.37250063
859,69276804,2,2008,4,0.26919165
1218,70520334,5,2008,23,0.805392
1349,69131939,6,2008,14,0.29072323
1564,86181657,8,2008,23,0.6838342
1599,29898542,8,2008,29,0.3795089
2328,19209963,11,2008,28,0.6880373
2494,37442738,11,2008,29,0.3696736
2503,89197301,11,2008,49,0.4786161
2738,47136216,11,2008,4,0.26112235
3039,52082476,11,2008,47,0.26845157
3278,59880591,11,2008,29,0.4721689
3421,18532269,11,2008,23,0.7261047
3523,43652802,11,2008,33,0.73262894
3557,37295791,11,2008,4,0.30500433
4205,81187448,2,2009,29,0.41368142
4226,15684217,2,2009,4,0.6824946
4428,43118052,3,2009,48,0.7144273
5407,17264622,5,2009,28,0.7639411
5589,74576219,5,2009,29,0.4246269
5635,10599924,5,2009,29,0.41139632
7474,64869304,10,2009,27,0.6727592
7728,64112270,10,2009,16,0.73242915
7835,61554298,10,2009,33,0.7302453
8166,75134118,11,2009,49,0.45154107
8627,87701951,11,2009,4,0.25226834
8694,57946039,11,2009,28,0.66501415
