comment number,random index,month,year,topic,contribution
275864,32741119,9,2014,44,0.3337419
277993,13969312,9,2014,28,0.53065664
280061,68444744,10,2014,38,0.7155265
285843,52543830,10,2014,33,0.6799908
287121,32959361,11,2014,28,0.56276536
287376,50523258,11,2014,23,0.5319773
289167,39726067,11,2014,12,0.7718911
293739,76384479,12,2014,12,0.7019147
294659,13670611,12,2014,16,0.52369094
297583,24942119,1,2015,48,0.6131666
299728,92932837,1,2015,48,0.5961877
300292,26639948,1,2015,33,0.7127485
305386,30002584,2,2015,46,0.5460297
307502,53556587,2,2015,48,0.640703
308550,86205146,2,2015,16,0.49688447
309588,21988751,2,2015,28,0.54365486
310531,34303381,3,2015,33,0.58294195
317671,24929063,3,2015,44,0.31001994
317769,46471525,3,2015,38,0.6594226
319514,39696557,4,2015,22,0.59307265
320790,86867921,4,2015,38,0.6879066
321222,31259133,4,2015,22,0.42372352
323964,31766073,4,2015,48,0.64591706
326650,24398887,4,2015,23,0.52734256
327775,47742496,5,2015,16,0.55316824
329398,86025291,5,2015,28,0.57242346
338315,59979545,6,2015,23,0.5505874
338511,44337480,6,2015,22,0.44941333
341438,35404612,6,2015,16,0.50257057
349362,26181271,6,2015,23,0.60109895
355662,46514510,6,2015,12,0.7027929
355854,54068103,6,2015,22,0.4209523
358340,42674477,6,2015,38,0.7128838
371311,66235026,7,2015,23,0.5825436
372819,81954368,7,2015,46,0.52989906
372913,54332029,7,2015,28,0.54372895
373591,54555089,7,2015,33,0.61147815
374128,94205610,7,2015,33,0.6100676
375540,10558478,7,2015,33,0.6624401
375911,15465505,7,2015,28,0.5611199
377411,37315650,8,2015,23,0.5587075
379288,49973719,8,2015,46,0.69851977
380205,62004189,8,2015,46,0.54397804
382108,68249055,8,2015,28,0.58745265
387230,17318711,9,2015,16,0.5149117
387921,55868684,9,2015,48,0.6932474
388306,44020017,9,2015,48,0.6197789
391868,98570807,9,2015,33,0.71591187
396930,66988121,9,2015,28,0.52886444
397521,94753806,10,2015,46,0.52010196
398378,62679038,10,2015,46,0.5173915
407140,60171790,11,2015,44,0.49893016
408388,56992126,11,2015,46,0.5281296
412462,42495328,12,2015,22,0.44505167
421483,67644872,1,2016,22,0.39333853
423350,99577818,1,2016,12,0.8052157
423680,30134046,1,2016,22,0.43821558
427428,62476380,2,2016,22,0.39228925
427923,16398366,2,2016,33,0.5913481
430865,49821164,2,2016,44,0.40222132
438939,91784434,3,2016,46,0.51649034
441556,21789125,3,2016,38,0.66869783
444702,24607602,4,2016,28,0.5351787
450257,20679390,4,2016,23,0.5441008
450354,22499978,4,2016,16,0.5793951
453247,94623580,5,2016,44,0.47763133
454891,59266450,5,2016,23,0.54617167
456270,23959573,5,2016,22,0.4267009
457420,69388320,5,2016,28,0.52782285
459301,88880105,6,2016,22,0.39341277
464229,35441292,6,2016,44,0.3342051
464413,22374605,6,2016,12,0.70828134
467322,19189728,6,2016,22,0.44003332
467919,19959056,6,2016,28,0.5344737
468093,38739060,6,2016,12,0.7393489
470413,33658357,7,2016,23,0.54195684
471675,96091192,7,2016,28,0.5701911
471856,32133602,7,2016,28,0.651424
474492,20152691,7,2016,28,0.58525395
475216,61234240,7,2016,16,0.5376772
477020,82096597,7,2016,22,0.45245856
477206,58921850,7,2016,28,0.5462079
479551,89061805,8,2016,22,0.42411828
481221,68370260,8,2016,22,0.43008396
487854,46304895,9,2016,22,0.3991236
487990,11562812,9,2016,23,0.6864791
488669,26503174,9,2016,22,0.46624842
488676,64693277,9,2016,22,0.41091833
503872,67196762,11,2016,22,0.41113666
518143,99555796,11,2016,16,0.49273908
518533,25154209,11,2016,38,0.6924622
521795,44732751,12,2016,33,0.7389463
523027,54341667,12,2016,38,0.6963757
523708,90509117,12,2016,44,0.411892
524381,25333849,12,2016,44,0.28974932
540802,58984539,2,2017,23,0.63636714
543719,19086646,2,2017,12,0.7031225
547731,79588880,3,2017,38,0.6800127
550041,36465515,3,2017,28,0.5369576
557863,84587398,4,2017,28,0.6913818
559198,77697504,5,2017,33,0.6395547
561546,68192458,5,2017,33,0.64105505
566821,90603748,6,2017,38,0.7114612
569886,59001532,6,2017,12,0.70347804
569937,19498760,6,2017,12,0.7405646
573896,27936068,6,2017,22,0.4021454
574951,96566690,6,2017,23,0.7233258
592044,77240407,8,2017,46,0.55573446
593989,16796661,9,2017,16,0.6877994
595107,94190984,9,2017,48,0.6545084
601312,28794660,9,2017,28,0.62082
